         Source name  Orientation      lcen     bcen    V_LSR    Distance  Length  Width  Velocity width       Mass   N(H2)_max   N(H2)_ave    Parameter p
                            (deg)     (deg)    (deg) (km s−1)       (kpc)    (pc)   (pc)        (km s−1)    (M_sun)      (cm-2)      (cm-2)

G129.550-0.525-08.02        24.76   129.550   -0.525    -8.02   0.56±0.19    0.95   0.27            1.52       0.70    2.62e+21    3.52e+20          0.050
G122.908+1.000+00.17       -69.46   122.908    1.000     0.17   0.23±0.02    0.40   0.12            0.71       0.10    1.58e+21    2.27e+20          0.152
G109.583+4.733-01.67        59.46   109.583    4.733    -1.67   0.77±0.09    0.68   0.29            0.97       0.59    1.89e+21    2.46e+20          0.412
G125.233-2.958-17.54        38.06   125.233   -2.958   -17.54   2.12±0.87    5.50   1.26            2.23      49.79    9.24e+21    6.87e+20          0.059
G120.217+1.675-58.45        46.43   120.217    1.675   -58.45   2.58±0.34    8.09   2.04            2.20      60.82    5.72e+21    5.44e+20          0.033
G121.750-3.175-24.05       -36.01   121.750   -3.175   -24.05   2.33±0.85    5.74   1.52            1.35      21.65    2.98e+21    2.84e+20          0.123
G134.100+2.083-31.06       -45.88   134.100    2.083   -31.06   2.19±0.32    6.44   1.42            1.21      36.31    5.15e+21    3.77e+20          0.333
G115.950+3.150-11.19        27.55   115.950    3.150   -11.19   0.75±0.08    1.08   0.29            0.77       0.66    2.17e+21    3.64e+20          0.389
G140.950-1.933-35.40        57.38   140.950   -1.933   -35.40   2.11±0.26    2.82   0.87            1.15       5.67    1.97e+21    3.16e+20          0.171
G109.433+0.942-07.18       -57.30   109.433    0.942    -7.18   0.78±0.08    1.32   0.36            0.79       0.84    1.87e+21    2.03e+20          0.051
G108.667-1.833-60.95        55.86   108.667   -1.833   -60.95   3.22±0.10    4.74   1.81            1.68      20.26    2.02e+21    2.60e+20          0.148
G118.108-0.658+02.00       -55.23   118.108   -0.658     2.00   0.70±0.05    2.65   0.63            2.15       9.70    6.60e+21    6.55e+20          0.123
G139.208-0.533-42.42        67.27   139.208   -0.533   -42.42   2.11±0.24    4.19   1.00            1.26      10.88    2.60e+21    2.53e+20          0.167
G118.592+4.800-11.52       -47.08   118.592    4.800   -11.52   0.72±0.07    0.77   0.29            0.86       0.73    2.45e+21    2.69e+20          0.531
G131.350-0.408-15.70        43.58   131.350   -0.408   -15.70   1.32±0.66    2.91   0.73            1.41       4.13    2.14e+21    1.86e+20          0.137
G116.175-4.717-05.84        23.99   116.175   -4.717    -5.84   0.70±0.05    0.94   0.32            1.11       0.77    2.05e+21    4.02e+20          0.049
G118.933+3.375-63.29        20.45   118.933    3.375   -63.29   5.47±0.93    8.50   2.55            1.46      67.24    3.27e+21    2.79e+20          0.028
G139.400+4.892-52.60       -30.79   139.400    4.892   -52.60   5.13±1.01   12.52   2.71            0.88     103.91    3.12e+21    3.50e+20          0.166
G147.092+1.258-33.40        30.56   147.092    1.258   -33.40   2.04±0.19    4.84   1.25            1.59      19.92    2.97e+21    3.71e+20          0.045
G137.717+3.792-46.76        24.82   137.717    3.792   -46.76   1.96±0.04    3.68   1.11            1.18      11.83    3.18e+21    3.32e+20          0.417
G132.417+1.425-49.43       -61.53   132.417    1.425   -49.43   1.96±0.04    3.43   0.95            0.99       8.69    2.50e+21    3.05e+20          0.356
G146.925-0.033-63.79       -50.98   146.925   -0.033   -63.79   9.35±0.68   15.83   4.87            1.17     196.04    1.91e+21    2.62e+20          0.066
G144.392+0.175-23.88       -57.57   144.392    0.175   -23.88   2.08±0.31    4.03   1.49            2.26      25.20    5.11e+21    6.09e+20          0.301
G118.433+0.400-44.09       -70.95   118.433    0.400   -44.09   2.66±0.30   10.23   2.17            1.77     116.40    1.00e+22    1.13e+21          0.208
G147.442-4.283-09.69       -20.96   147.442   -4.283    -9.69   0.26±0.03    0.61   0.18            1.65       0.35    3.85e+21    3.38e+20          0.630
G150.108-4.017-15.53       -45.85   150.108   -4.017   -15.53   1.83±0.51    3.52   1.07            1.71      16.47    3.47e+21    3.35e+20          0.124
